num1,num2,expected,output,parsed_result,calculated_result,arithmetic_valid,correct,steps
8,2263513519,2263513527,"8+2263513519:0,2,0>2,0;0,2,0>2,0;0,6,0>6,0;0,3,0>3,0;0,5,0>5,0;0,1,0>1,0;0,3,0>3,0;0,5,0>5,0;0,1,0>1,0;8,9,1>7,1|=2",2,2263513527,False,False,10
155708,100905503,101061211,"155708+100905503:0,1,0>1,0;0,0,0>1,0;0,0,0>0,0;1,9,1>0,1;5,0,0>6,0;8,5,1>3,1;8,5,1>3,1;0,0,0>2,0;8,3,1>1,1|=1",1,111074331,False,False,9
217787669,395917,218183586,"217787669+395917:2,0,0>2,0;1,0,0>1,0;7,0,0>7,0;7,3,1>1,1;8,9,1>8,1;7,5,1>2,1;6,9,1>6,1;6,1,0>7,0;9,7,1>6,1|=2",2,218293686,False,False,9
6,7459,7465,"6+7459:0,7,0>7,0;0,4,0>4,0;0,5,0>6,0;6,9,1>5,1|=7",7,7475,False,False,4
525756,7401599,7927355,"525756+7401599:0,7,0>7,0;5,4,0>9,0;2,0,0>3,0;5,1,0>7,0;2,5,0>7,0;5,9,1>4,1;6,9,1>5,1|=7",7,7937855,False,False,7
4543617,811340600,815884217,"4543617+811340600:0,8,0>8,0;0,1,0>2,0;4,1,0>5,0;4,3,0>7,0;4,4,0>8,0;5,0,0>6,0;3,6,0>9,0;7,0,0>8,0;7,0,0>8,0;1,0,0>1,0|=8",8,8257869881,False,False,10
242,35263378,35263620,"242+35263378:0,3,0>3,0;0,5,0>5,0;0,2,0>2,0;0,6,0>6,0;0,3,0>4,0;2,3,0>5,0;4,7,1>1,1;2,8,1>0,1|=3",3,35264620,False,False,8
486856173,8000050,494856223,"486856173+8000050:4,0,1>5,0;8,0,0>8,0;6,8,1>4,1;8,0,0>8,0;5,0,0>6,0;6,0,0>7,0;1,0,0>2,0;7,5,1>2,1;3,0,0>3,0|=5",5,594867323,False,False,9
993,97826,98819,"993+97826:0,9,0>9,0;0,7,0>8,0;9,8,1>8,1;9,2,1>2,1;3,6,0>9,0|=9",9,99929,False,False,5
111,173,284,"111+173:1,1,0>8,0;1,7,0>9,0;1,7,0>9,0|=8",8,899,False,False,3
7,773,780,"7+773:0,7,0>7,0;0,7,0>8,0;7,3,1>0,1|=7",7,790,False,False,3
2420416,240,2420656,"2420416+240:2,0,0>2,0;4,0,0>4,0;2,0,0>2,0;0,0,0>0,0;4,2,0>6,0;1,4,0>5,0;6,0,0>6,0|=2",2,2420656,False,False,7
8142130,93650995,101793125,"8142130+93650995:0,9,0>9,0;8,3,1>2,1;1,6,0>8,0;4,5,0>9,0;2,0,0>3,0;4,9,1>3,1;3,5,0>9,0;0,5,0>5,0|=9",9,102894395,False,False,8
621,66925051,66925672,"621+66925051:0,6,0>6,0;0,6,0>6,0;0,9,0>9,0;0,2,0>2,0;0,5,0>5,0;1,0,0>1,0;2,5,0>7,0;1,1,0>3,0|=6",6,66925173,False,False,8
513084285,57688529,570772814,"513084285+57688529:5,0,1>6,0;1,5,0>7,0;3,7,1>1,1;0,6,0>7,0;8,8,1>7,1;4,8,1>2,1;2,5,0>8,0;8,2,1>0,1;5,9,1>4,1|=6",6,681882914,False,False,9
7959,719,8678,"7959+719:7,0,0>8,0;9,7,1>7,1;5,1,0>7,0;9,9,1>8,1|=8",8,9788,False,False,4
7,7449876106,7449876113,"7+7449876106:0,7,0>7,0;0,4,0>4,0;0,4,0>4,0;0,9,0>9,0;0,8,0>8,0;0,7,0>7,0;0,6,0>6,0;0,1,0>1,0;0,0,0>0,0;7,6,1>3,1|=7",7,7449876113,False,False,10
7156735,135929409,143086144,"7156735+135929409:0,1,0>1,0;0,3,0>4,0;1,5,0>6,0;1,9,1>1,1;3,2,0>5,0;1,9,1>0,1;7,4,1>1,1;3,0,0>3,0;5,9,1>4,1|=1",1,147161144,False,False,9
7,8322414774,8322414781,"7+8322414774:0,8,0>8,0;0,3,0>3,0;0,2,0>2,0;0,2,0>2,0;0,4,0>4,0;0,1,0>1,0;0,4,0>4,0;0,7,0>7,0;0,7,0>7,0;7,4,1>1,1|=8",8,8322414781,False,False,10
71,1343868435,1343868506,"71+1343868435:0,1,0>1,0;0,3,0>3,0;0,4,0>4,0;0,3,0>3,0;0,8,0>8,0;0,6,0>6,0;0,8,0>8,0;0,4,0>4,0;7,3,1>1,1;1,5,0>6,0|=1",1,1343868516,False,False,10
599221581,77757,599299338,"599221581+77757:5,0,0>5,0;9,0,0>9,0;9,0,0>9,0;2,0,0>2,0;2,7,0>9,0;1,7,0>8,0;5,7,1>2,1;8,5,1>3,1;1,7,0>8,0|=5",5,599299338,False,False,9
88,194968544,194968632,"88+194968544:0,1,0>1,0;0,9,0>9,0;0,4,0>4,0;0,9,0>9,0;0,6,0>6,0;0,8,0>8,0;0,5,0>6,0;8,4,1>2,1;8,4,1>2,1|=1",1,194968732,False,False,9
2279,95052118,95054397,"2279+95052118:0,9,0>9,0;0,5,0>5,0;0,0,0>1,0;0,5,0>5,0;2,2,0>5,0;2,1,0>4,0;2,1,0>4,0;9,8,1>8,1|=9",9,95155458,False,False,8
435544022,3632982968,4068526990,"435544022+3632982968:0,3,0>3,0;3,6,1>0,1;5,3,0>9,0;5,2,0>8,0;5,9,1>4,1;6,8,1>4,1;5,2,0>7,0;0,9,0>9,0;2,6,0>8,0;2,8,1>0,1;4,8,1>2,1|=3",3,40995479912,False,False,11
916344,111578585,112494929,"916344+111578585:0,1,0>1,0;0,1,0>1,0;0,1,0>1,0;9,5,1>4,1;1,7,0>9,0;4,8,1>3,1;4,5,0>9,0;4,8,1>2,1;4,5,0>9,0|=1",1,112504029,False,False,9
78808477,72979305,151787782,"78808477+72979305:0,0,1>1,0;8,7,1>6,1;8,2,1>0,1;8,9,1>7,1;0,7,0>8,0;8,9,1>8,1;4,3,0>8,0;7,0,0>8,0;7,5,1>2,1|=1",1,271798892,False,False,9
7103217717,936997,7104154714,"7103217717+936997:7,0,0>7,0;1,0,0>1,0;0,0,0>1,0;3,0,0>3,0;2,9,1>2,1;1,3,0>4,0;7,6,1>4,1;7,9,1>6,1;1,9,1>0,1;7,7,1>6,1|=7",7,7114255716,False,False,10
31955,14630,46585,"31955+14630:3,1,0>4,0;1,1,0>3,0;9,6,1>5,1;5,3,0>8,0;5,3,0>9,0|=4",4,44589,False,False,5
7716067319,18050,7716085369,"7716067319+18050:7,0,0>7,0;7,0,0>7,0;1,0,0>1,0;6,0,0>7,0;0,0,0>0,0;6,1,0>8,0;7,8,1>6,1;3,0,0>4,0;1,5,0>6,0;9,0,1>0,0;1,0,0>1,0|=7",7,77170964601,False,False,11
32693431,3460414950,3493108381,"32693431+3460414950:0,3,0>4,0;0,4,0>4,0;6,6,1>2,1;2,0,0>2,0;2,4,0>7,0;9,1,1>0,1;3,4,0>8,0;3,9,1>3,1;3,5,0>8,0;1,0,0>1,0|=4",4,4522809381,False,False,10
13578,6526831162,6526844740,"13578+6526831162:0,6,0>6,0;0,5,0>6,0;0,2,0>2,0;0,6,0>6,0;0,8,0>9,0;5,3,0>9,0;7,1,0>8,0;5,1,0>6,0;7,6,1>3,1;8,2,1>0,1|=6",6,6626998740,False,False,10
74,178,252,"74+178:0,1,0>2,0;7,7,1>5,1;4,8,1>2,1|=2",2,362,False,False,3
27372,90713,118085,"27372+90713:0,0,1>1,0;2,9,1>2,1;7,0,0>7,0;3,7,1>1,1;7,1,0>9,0;2,3,0>5,0|=1",1,228195,False,False,6
43679,11861,55540,"43679+11861:4,1,0>6,0;3,1,0>4,0;4,8,1>3,1;7,8,1>6,1;9,1,1>0,1|=6",6,65470,False,False,5
32,4173840107,4173840139,"32+4173840107:0,4,0>4,0;0,1,0>1,0;0,7,0>7,0;0,3,0>4,0;0,8,0>8,0;0,4,0>4,0;0,1,0>1,0;0,1,0>1,0;3,0,0>3,0;2,7,0>9,0|=4",4,4174841139,False,False,10
33541704,373943,33915647,"33541704+373943:3,0,0>3,0;3,0,0>3,0;5,3,0>8,0;4,7,1>2,1;1,3,0>5,0;7,9,1>6,1;0,4,0>5,0;1,3,0>4,0|=3",3,33926654,False,False,8
3962,80784933,80788895,"3962+80784933:0,8,0>8,0;0,0,0>1,0;0,7,0>7,0;0,8,0>9,0;3,4,0>8,0;9,9,1>8,1;3,3,0>6,0;2,3,0>5,0|=8",8,81799865,False,False,8
1,252117,252118,"1+252117:0,2,0>2,0;0,5,0>5,0;0,2,0>3,0;0,1,0>1,0;0,1,0>1,0;1,7,0>8,0|=2",2,253118,False,False,6
8892492961,870,8892493831,"8892492961+870:8,0,0>8,0;8,0,0>8,0;8,0,0>8,0;2,0,0>2,0;4,0,0>5,0;9,0,1>0,1;2,0,0>2,0;9,8,1>7,1;6,7,1>3,1;1,7,0>8,0|=8",8,8882603838,False,False,10
4992095,8385078,13377173,"4992095+8385078:0,0,1>1,0;9,8,1>7,1;9,3,1>2,1;9,5,1>4,1;2,5,0>8,0;0,0,0>0,0;9,7,1>6,1;5,8,1>3,1|=1",1,28348173,False,False,8
691,6653,7344,"691+6653:0,6,0>7,0;6,6,1>3,1;9,5,1>4,1;1,3,0>4,0|=7",7,8444,False,False,4
1,16884,16885,"1+16884:0,1,0>1,0;0,6,0>7,0;0,8,0>8,0;0,8,0>8,0;1,4,0>6,0|=1",1,17886,False,False,5
508,73918769,73919277,"508+73918769:0,7,0>7,0;0,3,0>3,0;0,9,0>9,0;0,1,0>1,0;0,8,0>9,0;8,7,1>5,1;0,6,0>7,0;8,9,1>7,1|=7",7,73920587,False,False,8
79798,41361490,41441288,"79798+41361490:0,4,0>4,0;0,1,0>1,0;0,3,0>4,0;7,6,1>3,1;9,1,1>0,1;7,4,1>1,1;9,9,1>8,1;8,0,0>8,0|=4",4,41541288,False,False,8
8962291,5406118,14368409,"8962291+5406118:8,5,0>4,0;9,4,1>3,1;6,4,1>1,1;9,0,1>0,1;2,1,0>4,0;2,1,0>4,0;1,1,0>3,0|=4",4,5420443,False,False,7
991,566792435,566793426,"991+566792435:0,5,0>5,0;0,6,0>6,0;0,6,0>6,0;0,7,0>7,0;0,9,1>0,1;0,2,0>2,0;9,4,1>4,1;9,3,1>2,1;1,5,0>6,0|=5",5,566803526,False,False,9
7,60070,60077,"7+60070:0,6,0>6,0;0,0,0>1,0;0,0,0>0,0;0,7,0>7,0;7,0,0>7,0|=6",6,61077,False,False,5
816047,144042329,144858376,"816047+144042329:0,1,0>1,0;0,4,0>5,0;0,4,0>5,0;8,0,0>8,0;0,4,0>4,0;7,2,1>0,1;7,3,1>0,1;2,2,0>4,0;7,9,1>6,1|=1",1,155851056,False,False,9
